adIdText;linkref;priceTagText;floatRText;listingH3Text;meuble;lat;lon
7446021;https://www.mubawab.ma/fr/a/7446021/superbe-appartement-%C3%A0-louer-%C3%A0-belv%C3%A9d%C3%A8re-superficie-55-m%C2%B2-service-de-concierge-et-climatisation;4700 DH;2 chambres, 55 m²;Belvédère à   Casablanca;False;33.5895625839363;-7.59678840637207
7446012;https://www.mubawab.ma/fr/a/7446012/bel-appartement-en-location-%C3%A0-belv%C3%A9d%C3%A8re-superficie-51-m%C2%B2-ascenseur-et-places-de-parking;5100 DH;1 chambre, 51 m²;Belvédère à   Casablanca;False;33.5895625839363;-7.59678840637207
7445983;https://www.mubawab.ma/fr/a/7445983/appartement-%C3%A0-louer-%C3%A0-agdal;9000 DH;2 chambres, 90 m²;Agdal à   Rabat;False;34.00037546099115;-6.850061416625977
7445969;https://www.mubawab.ma/fr/a/7445969/appartement-%C3%A0-louer-%C3%A0-hay-mohammadi-1-pi%C3%A8ce-;    Prix à consulter    ;1 chambre, 60 m²;Hay Mohammadi à   Agadir;False;30.43351928293651;-9.555529332719743
7445971;https://www.mubawab.ma/fr/a/7445971/appartement-%C3%A0-louer-par-jour-%C3%A0-ain-attig-3-chambres-bien-meubl%C3%A9;    Prix à consulter    ;3 chambres, 60 m²; à   Ain Attig;True;33.890082489364794;-6.965503692626953
7437167;https://www.mubawab.ma/fr/a/7437167/bel-appartement-en-location-%C3%A0-ain-diab-extension-surface-totale-200-m%C2%B2-meubl%C3%A9;21000 DH;3 chambres, 200 m²;Ain Diab Extension à   Casablanca;True;33.571511575922976;-7.699251465370793
7445955;https://www.mubawab.ma/fr/a/7445955/location-d-un-appartement-meubl%C3%A9-%C3%A0-tabriquet;    Prix à consulter    ;2 chambres, 70 m²;Tabriquet à   Salé;True;34.04465175230997;-6.802768707275391
7446090;https://www.mubawab.ma/fr/a/7446090/superbe-appartement-haut-standing-meubl%C3%A9-%C3%A0-la-plage-des-nations;14000 DH;4 chambres, 180 m²; à   Mehdia;False;34.255939501317606;-6.674022674560547
7445897;https://www.mubawab.ma/fr/a/7445897/appartement-bord-mer;7000 DH;3 chambres, 70 m²; à   Dar Bouazza;True;33.521421084308514;-7.844753265380547
7445623;https://www.mubawab.ma/fr/a/7445623/appartement-moderne-%C3%A0-lou%C3%A9-%C3%A0-gu%C3%A9liz;6000 DH;2 chambres, 80 m²;Guéliz à   Marrakech;True;31.642567539017598;-8.007831573486328
7445576;https://www.mubawab.ma/fr/a/7445576/appartement-neuf-en-tr%C3%A8s-bon-%C3%A9tat-a-louer;    Prix à consulter    ;2 chambres, 100 m²;Hassan - Centre Ville à   Rabat;True;34.0208660754302;-6.837058067321777
7309122;https://www.mubawab.ma/fr/a/7309122/location-appartement-neuf-avec-terrasse;9000 DH;2 chambres, 140 m²;Les Orangers à   Rabat;False;34.01538816628851;-6.842765808105469
7445553;https://www.mubawab.ma/fr/a/7445553/appartement-%C3%A0-louer;7000 DH;2 chambres, 80 m²;L'Ocean à   Rabat;True;34.02239555835533;-6.849374771118164
7445543;https://www.mubawab.ma/fr/a/7445543/%C3%A9tages-villas-vide-couple-mari%C3%A9-ensoleill%C3%A9-jardin;3700 DH;3 chambres, 85 m²;Aïn Sebaâ à   Casablanca;False;33.611688641154686;-7.538852691650391
7445502;https://www.mubawab.ma/fr/a/7445502/location-longue-dur%C3%A9e-%C3%A0-c%C3%B4t%C3%A9-du-clinique-chifae;6500 DH;2 chambres, 120 m²;Guéliz à   Marrakech;True;31.635077472598304;-8.010320663452148
7445486;https://www.mubawab.ma/fr/a/7445486/location-longue-dur%C3%A9e-%C3%A0-targa;6500 DH;2 chambres, 109 m²;Guéliz à   Marrakech;False;31.635077472598304;-8.010320663452148
7377322;https://www.mubawab.ma/fr/a/7377322/appartement-%C3%A0-2-fa%C3%A7ades;2500 DH;3 chambres, 86 m²; à   Berrechid;False;33.26746989857436;-7.579450607299805
7445437;https://www.mubawab.ma/fr/a/7445437/studio-meubl%C3%A9-%C3%A0-louer;3600 DH;1 chambre, 32 m²;L'Ocean à   Rabat;True;34.02239555835533;-6.849374771118164
7445278;https://www.mubawab.ma/fr/a/7445278/appartement-%C3%A0-louer-longue-dur%C3%A9e;5500 DH;4 chambres, 140 m²;Maârif Extension à   Casablanca;False;33.57154299116339;-7.636313438415527
7445212;https://www.mubawab.ma/fr/a/7445212/apparemment-a-activit%C3%A9-professionnels;6000 DH;1 chambre, 90 m²;Roustal à   Salé;False;34.04714445117112;-6.7971038818359375
7445172;https://www.mubawab.ma/fr/a/7445172/location-superbe-studio-avec-balcon-bourgogne;7500 DH;1 chambre, 55 m²;Bourgogne Ouest à   Casablanca;False;33.582734173084866;-7.675838470458984
7445158;https://www.mubawab.ma/fr/a/7445158/location-appartement-guich-oudaya-r%C3%A9sidence-cgi;9000 DH;2 chambres, 110 m²;Guich Oudaya à   Rabat;False;33.942452087200124;-6.889813701893502
